code,description,marca,price_distributor,price_distributor_with_ipi,price_final,price_final_with_ipi,priceresale,priceresalewithipi
CV-50620,EXTENSOR VALVULADO 06 FR X 2 VIAS,,16.59,17.45,17.84,18.76,,
CV-51220,EXTENSOR VALVULADO 12 FR X 2 VIAS,,16.59,17.45,17.84,18.77,,
2.2.31.00031,FONTE DE ALIMENTACAO ELETROCARDIOGRAFO ECG90A,,265.22,268.66,265.22,268.66,,
1.2.11.00041,MODULO DE IMPRESSORA ELETROCARDIOGRAFO ECG90A,,204.84,207.51,204.84,207.51,,
2.1.03.00429,PLACA INTERNA ELETROCARDIOGRAFO ECG90A,,940.16,952.38,940.16,952.38,,
IRJOY,ADAPTADOR INFRAVERMELHO USB IRDA 4 MBPS,,337.41,388.02,337.41,388.02,,
11141-000116,ADAPTADOR PARA CARREGADOR DE BATERIA LIFEPAK 12,,1469.42,1488.52,1469.42,1488.52,,
11103-000006,ADAPTADOR PARA ELETRODO PHILIPS,,653.60,662.10,653.60,662.10,,
11103-000005,ADAPTADOR PARA ELETRODO ZOLL,,653.60,662.10,653.60,662.10,,
21330-001176,BATERIA DE LI-ION 5.7 AH RECARREGÁVEL LIFEPAK 15,,2699.61,3003.32,2699.61,3003.32,,
11141-000112,BATERIA DE LI-ION INTERNA RECARREGAVEL LIFEPAK 20E,,3401.20,3732.82,3401.20,3732.82,,
11141-000100,BATERIA NAO RECARREGAVEL LIMNO2 LIFEPAK 1000,,5953.99,6534.50,5953.99,6534.50,,
11425-000001,BOLSA DE TRANSPORTE ACESSORIOS LIFEPAK 1000,,567.66,604.55,567.66,604.55,,
PHY08,BOLSA DE TRANSPORTE ACESSORIOS LIFEPAK 20,,95.51,101.72,95.51,101.72,,
11260-000032,BOLSA DE TRANSPORTE LIFEPAK 12,,2703.12,2878.82,2703.12,2878.82,,
11260-000018,BOLSA DE TRANSPORTE LIFEPAK 20,,1387.60,1477.80,1387.60,1477.80,,
11210-000001,BOLSA DE TRANSPORTE LIFEPAK 500,,1450.67,1544.97,1450.67,1544.97,,
21300-004576,BOLSA DE TRANSPORTE LIFEPAK CR PLUS,,648.75,690.92,648.75,690.92,,
11260-000014,BOLSA DE TRANSPORTE LIFEPAK CR PLUS TREINAMENTO,,342.40,364.65,342.40,364.65,,
21300-008049,BOTAO DE CHOQUE PARA PAS RIGIDAS LIFEPAK 20,,31.35,32.98,31.35,32.98,,
805400-00,CABO ECG 03 VIAS LIFEPAK 10 E LIFEPAK 9,,358.00,376.62,358.00,376.62,,
11111-000016,CABO ECG 03 VIAS LIFEPAK 1000,,1134.93,1193.95,1134.93,1193.95,,
11110-000029,CABO ECG 03 VIAS LIFEPAK 12 LIFEPAK 20 LIFEPAK 15,,793.48,834.74,793.48,834.74,,
11111-000020,CABO ECG 04 VIAS LIFEPAK 15 AHA,,2705.87,2846.57,2705.87,2846.57,,
11111-000019,CABO ECG 04 VIAS LIFEPAK 15 IEC,,1800.04,1893.64,1800.04,1893.64,,
11110-000103,CABO ECG 06 VIAS PRECORDIAIS LIFEPAK 12,,1108.35,1165.98,1108.35,1165.98,,
